commit f5cd8387d156aa2b8f081c63dda066a4fbed9bf4
Merge: 8a390bb9 827e3a52
Author: pr1m8 <william.astley@algebraicwealth.com>
Date:   Mon Jul 28 09:32:58 2025 -0400

    On feature/fix_everything: WIP: Before testing unterminated string fixes

 CRITICAL_VALIDATION_TOOL_ISSUES.md                 |      71 +
 .../haive/agents/react_class/react_v2/README.md    |      37 +
 .../haive/agents/react_class/react_v3/README.md    |      37 +
 .../haive/agents/reasoning_and_critique/README.md  |      47 +
 .../agents/reasoning_and_critique/lats/README.md   |      37 +
 .../reasoning_and_critique/lats/v3/README.md       |     253 +
 .../agents/reasoning_and_critique/logic/README.md  |      39 +
 .../reasoning_and_critique/logic/engines/README.md |      37 +
 .../agents/reasoning_and_critique/mcts/README.md   |      37 +
 .../reasoning_and_critique/reflection/README.md    |      37 +
 .../reasoning_and_critique/reflexion/README.md     |      37 +
 .../reasoning_and_critique/self_discover/README.md |      37 +
 .../agents/reasoning_and_critique/tot/README.md    |      39 +
 .../reasoning_and_critique/tot/modular/README.md   |      37 +
 .../src/haive/agents/reflection/README.md          |     353 +
 .../src/haive/agents/self_healing_code/README.md   |      37 +
 .../src/haive/agents/sequential/README.md          |      37 +
 .../haive-agents/src/haive/agents/simple/README.md |     181 +
 .../src/haive/agents/simple/structured/README.md   |      37 +
 .../src/haive/agents/simple/v2/README.md           |      37 +
 .../src/haive/agents/structured_output/README.md   |     205 +
 .../src/haive/agents/supervisor/README.md          |     180 +
 .../src/haive/agents/task_analysis/README.md       |      46 +
 .../haive/agents/task_analysis/analysis/README.md  |      37 +
 .../src/haive/agents/task_analysis/base/README.md  |      37 +
 .../haive/agents/task_analysis/context/README.md   |      37 +
 .../agents/task_analysis/decomposer/README.md      |      37 +
 .../haive/agents/task_analysis/execution/README.md |      37 +
 .../src/haive/agents/task_analysis/tree/README.md  |      37 +
 .../haive-agents/src/haive/agents/utils/README.md  |      37 +
 .../src/haive/agents/wiki_writer/README.md         |      39 +
 .../haive/agents/wiki_writer/interview/README.md   |      37 +
 .../packages/haive-agents/tests/README.md          |     245 +
 .../tests/integration/supabase/README.md           |     187 +
 .../haive-agents/tests/supervisor/README.md        |     249 +
 .../packages/haive-core/README.md                  |     541 +
 .../packages/haive-core/src/haive/core/README.md   |     343 +
 .../haive-core/src/haive/core/common/README.md     |     315 +
 .../src/haive/core/common/mixins/README.md         |     314 +
 .../haive-core/src/haive/core/engine/README.md     |     124 +
 .../src/haive/core/engine/agent/README.md          |     388 +
 .../src/haive/core/engine/aug_llm/README.md        |     524 +
 .../src/haive/core/engine/document/README.md       |     310 +
 .../src/haive/core/engine/document/base/README.md  |     468 +
 .../haive/core/engine/document/loaders/README.md   |     281 +
 .../haive/core/engine/document/sources/README.md   |     370 +
 .../haive/core/engine/document/splitters/README.md |     394 +
 .../core/engine/document/transformers/README.md    |     489 +
 .../src/haive/core/engine/document/types/README.md |     458 +
 .../haive/core/engine/prompt_template/README.md    |     171 +
 .../src/haive/core/engine/retriever/README.md      |     405 +
 .../src/haive/core/engine/vectorstore/README.md    |     434 +
 .../haive-core/src/haive/core/graph/README.md      |     423 +
 .../haive-core/src/haive/core/graph/node/README.md |     525 +
 .../src/haive/core/graph/state_graph/README.md     |     215 +
 .../src/haive/core/persistence/README.md           |     183 +
 .../src/haive/core/persistence/store/README.md     |     517 +
 .../haive-core/src/haive/core/schema/README.md     |    1062 +
 .../src/haive/core/schema/compatibility/README.md  |     331 +
 .../src/haive/core/schema/composer/README.md       |      60 +
 .../haive/core/schema/prebuilt/messages/README.md  |     152 +
 .../haive-core/src/haive/core/tools/README.md      |     124 +
 .../haive-core/src/haive/core/types/README.md      |     503 +
 .../haive-core/src/haive/core/utils/README.md      |     365 +
 .../haive-core/temp_refactor/state_graph/README.md |     197 +
 .../state_graph/visualization/README.md            |      76 +
 .../tests/persistence_debugging/README.md          |      53 +
 .../packages/haive-dataflow/README.md              |     100 +
 .../packages/haive-dataflow/docs/README.md         |     434 +
 .../haive-dataflow/src/haive/dataflow/README.md    |     131 +
 .../src/haive/dataflow/auth/README.md              |     118 +
 .../src/haive/dataflow/config/README.md            |     112 +
 .../src/haive/dataflow/conversations/README.md     |      37 +
 .../haive-dataflow/src/haive/dataflow/db/README.md |      76 +
 .../src/haive/dataflow/fetchers/README.md          |      37 +
 .../src/haive/dataflow/importers/README.md         |      37 +
 .../haive/dataflow/internal_websockets/README.md   |      37 +
 .../src/haive/dataflow/llms/README.md              |      37 +
 .../src/haive/dataflow/persistence/README.md       |     125 +
 .../src/haive/dataflow/providers/README.md         |      37 +
 .../src/haive/dataflow/registries/README.md        |      37 +
 .../src/haive/dataflow/registry/README.md          |     140 +
 .../haive/dataflow/registry/importers/README.md    |     115 +
 .../haive/dataflow/registry/providers/README.md    |      74 +
 .../haive/dataflow/registry/registries/README.md   |      37 +
 .../src/haive/dataflow/registry/utils/README.md    |      37 +
 .../src/haive/dataflow/utils/README.md             |      37 +
 .../packages/haive-games/README.md                 |     283 +
 .../packages/haive-games/docs/README.md            |      94 +
 .../packages/haive-games/scripts/README.md         |     110 +
 .../packages/haive-games/src/haive/games/README.md |     462 +
 .../haive-games/src/haive/games/among_us/README.md |     549 +
 .../haive-games/src/haive/games/base/README.md     |     328 +
 .../haive-games/src/haive/games/base_v2/README.md  |      37 +
 .../src/haive/games/battleship/README.md           |     540 +
 .../haive-games/src/haive/games/board/README.md    |      37 +
 .../haive-games/src/haive/games/cards/README.md    |     525 +
 .../haive/games/cards/standard/blackjack/README.md |      37 +
 .../src/haive/games/cards/standard/bs/README.md    |      37 +
 .../src/haive/games/cards/standard/poker/README.md |      37 +
 .../src/haive/games/cards/uno/README.md            |      37 +
 .../haive-games/src/haive/games/checkers/README.md |    1025 +
 .../haive-games/src/haive/games/chess/README.md    |     846 +
 .../haive-games/src/haive/games/clue/README.md     |     145 +
 .../haive-games/src/haive/games/connect4/README.md |     741 +
 .../haive-games/src/haive/games/core/README.md     |      46 +
 .../src/haive/games/core/agent/README.md           |      37 +
 .../src/haive/games/core/board/README.md           |      54 +
 .../src/haive/games/core/components/README.md      |      39 +
 .../haive/games/core/components/cards/README.md    |      37 +
 .../src/haive/games/core/game/README.md            |      37 +
 .../src/haive/games/core/move/README.md            |      37 +
 .../src/haive/games/core/position/README.md        |      37 +
 .../haive-games/src/haive/games/debate/README.md   |     544 +
 .../haive-games/src/haive/games/dominoes/README.md |     188 +
 .../src/haive/games/fox_and_geese/README.md        |     238 +
 .../src/haive/games/framework/README.md            |     337 +
 .../src/haive/games/framework/base/README.md       |      37 +
 .../src/haive/games/framework/core/README.md       |      37 +
 .../haive/games/framework/multi_player/README.md   |      37 +
 .../haive-games/src/haive/games/go/README.md       |     444 +
 .../haive-games/src/haive/games/hold_em/README.md  |     160 +
 .../haive-games/src/haive/games/mafia/README.md    |      98 +
 .../haive-games/src/haive/games/mancala/README.md  |     142 +
 .../src/haive/games/mastermind/README.md           |     113 +
 .../haive-games/src/haive/games/monopoly/README.md |     331 +
 .../src/haive/games/monopoly/game/README.md        |      37 +
 .../src/haive/games/multi_player/README.md         |      37 +
 .../haive-games/src/haive/games/nim/README.md      |    1503 +
 .../haive-games/src/haive/games/poker/README.md    |     351 +
 .../haive-games/src/haive/games/reversi/README.md  |      94 +
 .../haive-games/src/haive/games/risk/README.md     |     516 +
 .../src/haive/games/single_player/README.md        |      47 +
 .../haive/games/single_player/flow_free/README.md  |     109 +
 .../games/single_player/logic_grid/game/README.md  |      37 +
 .../games/single_player/mine_sweeper/README.md     |      37 +
 .../src/haive/games/single_player/rubiks/README.md |      37 +
 .../src/haive/games/single_player/sudoku/README.md |      55 +
 .../games/single_player/sudoku/game/README.md      |      37 +
 .../single_player/twenty_fourty_eight/README.md    |      39 +
 .../twenty_fourty_eight/game/README.md             |      37 +
 .../src/haive/games/single_player/wordle/README.md |      37 +
 .../src/haive/games/tic_tac_toe/README.md          |     744 +
 .../packages/haive-mcp/README.md                   |     461 +
 .../packages/haive-mcp/examples/README.md          |     313 +
 .../packages/haive-mcp/src/haive/mcp/README.md     |      43 +
 .../haive-mcp/src/haive/mcp/agents/README.md       |     129 +
 .../haive-mcp/src/haive/mcp/discovery/README.md    |      99 +
 .../haive-mcp/src/haive/mcp/mixins/README.md       |      37 +
 .../haive-mcp/src/haive/mcp/servers/README.md      |     206 +
 .../haive-mcp/src/haive/mcp/utils/README.md        |      37 +
 .../packages/haive-mcp/tests/README.md             |     145 +
 .../packages/haive-prebuilt/README.md              |     308 +
 .../haive-prebuilt/src/haive/prebuilt/README.md    |      77 +
 .../prebuilt/academic_task_learning/README.md      |      37 +
 .../src/haive/prebuilt/ai_insight/README.md        |      37 +
 .../src/haive/prebuilt/blog_writer_agent/README.md |      37 +
 .../src/haive/prebuilt/car_buyer_agent/README.md   |      37 +
 .../src/haive/prebuilt/career_assistant/README.md  |      37 +
 .../haive/prebuilt/chiron_learning_agent/README.md |      37 +
 .../src/haive/prebuilt/clause_ai/README.md         |      37 +
 .../haive/prebuilt/company_researcher/README.md    |      37 +
 .../haive/prebuilt/constituional_agent/README.md   |       8 +
 .../haive/prebuilt/content_intelligence/README.md  |      37 +
 .../src/haive/prebuilt/contract_analysis/README.md |       1 +
 .../src/haive/prebuilt/customer_support/README.md  |      37 +
 .../src/haive/prebuilt/db_discovery/README.md      |      37 +
 .../src/haive/prebuilt/essay_grading/README.md     |      37 +
 .../haive/prebuilt/eu_green_compliance/README.md   |      37 +
 .../src/haive/prebuilt/gif_generator/README.md     |      37 +
 .../src/haive/prebuilt/graph_inspector/README.md   |      37 +
 .../src/haive/prebuilt/gtla/README.md              |       1 +
 .../src/haive/prebuilt/memory_agent/README.md      |      37 +
 .../src/haive/prebuilt/misc/README.md              |      37 +
 .../communication_planning/README.md               |      37 +
 .../agent_management/decision_analysis/README.md   |      37 +
 .../agent_management/goal_decompisition/README.md  |      50 +
 .../src/haive/prebuilt/open_researcher/README.md   |      37 +
 .../src/haive/prebuilt/people_researcher/README.md |      37 +
 .../src/haive/prebuilt/perplexity/README.md        |      39 +
 .../src/haive/prebuilt/perplexity/base/README.md   |      37 +
 .../src/haive/prebuilt/podcast_generator/README.md |      39 +
 .../prebuilt/podcast_generator/interview/README.md |      42 +
 .../src/haive/prebuilt/project_manager/README.md   |       1 +
 .../haive/prebuilt/sales_call_analyzer/README.md   |      37 +
 .../prebuilt/scientific_paper_agent/README.md      |      37 +
 .../haive/prebuilt/search_and_summarize/README.md  |      37 +
 .../src/haive/prebuilt/self_improving/README.md    |      37 +
 .../sequence/business_meme_generator/README.md     |      37 +
 .../src/haive/prebuilt/shop_genie/README.md        |      37 +
 .../src/haive/prebuilt/startup/README.md           |      43 +
 .../src/haive/prebuilt/startup/ideation/README.md  |      37 +
 .../prebuilt/startup/market_research/README.md     |      37 +
 .../src/haive/prebuilt/startup/pitchdeck/README.md |      37 +
 .../README.md                                      |      37 +
 .../src/haive/prebuilt/taskifier/README.md         |      37 +
 .../src/haive/prebuilt/tldr2/README.md             |       1 +
 .../src/haive/prebuilt/tts_poem_gen/README.md      |      37 +
 .../prebuilt/weather_disaster_management/README.md |      37 +
 .../packages/haive-tools/README.md                 |     357 +
 .../packages/haive-tools/src/haive/tools/README.md |      41 +
 .../haive-tools/src/haive/tools/tools/README.md    |      39 +
 .../src/haive/tools/tools/google/README.md         |      37 +
 .../src/haive/tools/tools/toolkits/README.md       |      39 +
 .../src/haive/tools/tools/toolkits/dev/README.md   |      41 +
 .../tools/toolkits/dev/project_creation/README.md  |      37 +
 .../tools/tools/toolkits/dev/python/README.md      |      37 +
 haive-agents-dangling-objects.json                 | 1885620 +++++++++++++++++
 packages/haive-agents                              |       2 +-
 packages/haive-core                                |       2 +-
 packages/haive-dataflow                            |       2 +-
 packages/haive-games                               |       2 +-
 packages/haive-mcp                                 |       2 +-
 packages/haive-prebuilt                            |       2 +-
 packages/haive-tools                               |       2 +-
 project_docs/agent_sessions/AGENT_COORDINATION.md  |      80 +
 project_docs/agent_sessions/CONFERENCE_ROOM.md     |     656 +
 project_docs/agent_sessions/COORDINATION_DEMO.md   |     197 +
 .../session_20250728_054944/AGENT_IDENTITY.md      |      46 +
 .../session_20250728_054944/SESSION_LOG.md         |      56 +
 .../session_20250728_054727/AGENT_IDENTITY.md      |      29 +
 .../session_20250728_054727/AGENT_MESSAGES.md      |      47 +
 .../session_20250728_054727/CURRENT_STATUS.md      |      44 +
 .../session_20250728_054727/SESSION_LOG.md         |      53 +
 .../SYNTAX_CLEANUP_PROGRESS.md                     |      24 +
 .../PERFECT_DOCS_MASTER_CHECKLIST.md               |     346 +
 .../agent_sessions/RAPID_DEPLOYMENT_CHECKLIST.md   |     237 +
 project_docs/agent_sessions/SHARED_MESSAGES.md     |     258 +
 project_docs/agent_sessions/THREE_WAY_MEETING.md   |     516 +
 .../DOCUMENTATION_MEMORY_CONSOLIDATION.md          |     112 +
 project_docs/documentation_fix/MASTER_PLAN.md      |     659 +-
 .../documentation_fix/VISUALIZATION_SETUP.md       |       0
 project_docs/scripts/agent_activity_monitor.py     |     241 +
 project_docs/scripts/agent_coordinator.py          |     552 +
 project_docs/scripts/autonomous_agent_system.py    |     212 +
 project_docs/scripts/start_agent_coordination.sh   |     188 +
 project_docs/scripts/user_agent_interface.py       |     234 +
 project_docs/syntax_errors/.scan_pid               |       1 +
 .../syntax_errors_20250728_092934.json             |    1793 +
 .../syntax_errors_20250728_092934.txt              |     780 +
 pyproject.toml                                     |       1 +
 recover_recent_commits.sh                          |      32 +
 recovery/recover_commits.sh                        |      52 +
 recovery_important_commits.sh                      |      45 +
 scripts/git/compare_recent_dangling_commits.py     |     310 +
 scripts/git/examine_specific_commits.py            |     169 +
 scripts/git/extract_recent_commit_details.py       |     246 +
 scripts/git/recover_dangling_objects.py            |     321 +
 scripts/git/view_dangling_ui.py                    |      87 +
 scripts/run_syntax_scan.sh                         |      29 +
 scripts/scan_syntax_errors.py                      |     181 +
 trunk_baseline.txt                                 |       1 +
 334 files changed, 1949835 insertions(+), 3546 deletions(-)
